text,translation
"% of tracks are currently playing, so a layer",% 的音轨正在播放，因此一层
"% respectively.  [C:4:0:1]This export agreement only applies to trades next year, not with any merchants currently present.",% 。[C:4:0:1]这份出口协议只适用于明年的交易，不适用于当前在场的任何商人。
"%.  [C:4:0:1]This export agreement only applies to trades next year, not with any merchants currently present.",% 。[C:4:0:1]这份出口协议只适用于明年的交易，不适用于当前在场的任何商人。
%d-byte integer does not fit into Lua Integer,%d 字节整数无法放入 Lua 整数
%s expected (to close %s at line %d),应有 %s（用于在第 %d 行关闭 %s）
%s: bad binary format (%s),%s：二进制格式错误（%s）
"' marks a beat as late,",’将节拍标记为迟到，
'=' or 'in' expected,应有 '=' 或 'in'
'__index' chain too long; possible loop,'__index' 链过长；可能存在循环
'__newindex' chain too long; possible loop,'__newindex' 链过长；可能存在循环
'__tostring' must return a string,'__tostring' 必须返回字符串
*** Error(s) finalizing the sound,*** 音效完成时出现错误
*** Error(s) finalizing the symbol,*** 符号完成时出现错误
*** Error(s) finalizing the template,*** 模板完成时出现错误
*** Error(s) finalizing the translation,*** 翻译完成时出现错误
"*** Error(s) found in the file ""","*** 在文件 "" 中发现错误"
", Region Pop: Null Square Count",，区域人口：空方块数量
", a competent commander",，一位称职的指挥官
", a jealous deity, consulted first?",，一位善妒的神祇，曾被最先问询？
", a seasoned commander",，一位经验丰富的指挥官
", a talented commander",，一位才华出众的指挥官
", after the death strike by",，死于致命一击，出手者为
", after the death strike by a",，死于一位
", an ancient and horrible demon escaped from the underworld before the dawn of time",，一只远古而恐怖的恶魔，在时间之先从冥界逃出
", and I have chosen you",，而我选择了你
", and the defenders were led by",，守军的统帅是
", had site link type",，拥有地点联系类型
", inveighing against",，痛斥
", it is important that",，重要的是
", no matter how major the help or how much",，无论帮助多么重大，也无论
", once of the Underworld.",，曾是冥界之人。
", or given to one of us",，或交给我们中的一员
", rather than walking leisurely.""","，而非从容行走。"""
", testing the will of",，考验着……的意志
", though rhymes at the end of lines in the",，不过韵脚出现在行末
", to be delivered from",，将从……解救出来
", urging love be shown to",，敦促向……表达爱意
", where 1 is the tonic, O marks the octave and x marks other notes.",，其中1是主音，O表示八度，x表示其他音符。
", while completely misreading the situation,",，同时完全误读了局势，
", while the counterpoint has",，而对位声部有
- make at a workshop first,-先在工作车间制造
- mine rock or chop trees,- 采矿或伐木
- mine rock underground,- 开采地下岩石
--- Logging Creature,--- 记录生物
--- Logging Inorganic,--- 记录无机物
--- Logging Interaction,--- 记录互动
--- Logging Reaction,--- 记录反应
--- Logging Translation,--- 记录翻译
--> Emotionally obsessive,--> 情感上的执念
--> Excitement-seeking,--> 追求刺激
--> Inclined to abstract,--> 倾向抽象思维
--> Inclined to create art,--> 倾向艺术创作
--> Sense of gratitude,--> 有感恩之心
--> Swayed by emotions,--> 易受情绪左右
--> Tolerates differences,--> 宽容差异
--> Vulnerable to stress,--> 易受压力影响
"!  My chosen, you must speak to them and offer your service.""","! 我的选民啊，你必须与他们交谈并提供你的服务。"""
!  See to yourself before you face what's ahead.,! 在面对前方挑战之前，先整备好自己。
"! marks the primary accent,",! 表示主要重音，
!This program cannot be run in DOS mode.,!本程序无法在 DOS 模式下运行。
""".  [C:2:0:1]Strike the earth![C:7:0:0]","""。[C:2:0:1]向大地进击！[C:7:0:0]"
"""Congratulations!  Now you must return this precious object to its proper home.""","""恭喜你！现在你必须将这件珍贵的物品送回它应在的居所。"""
"""Congratulations, my faithful chosen!  There are other ways you can serve, if you offer your service again.  You may also live your life as you see fit now if you choose.  You have done well.""","""恭喜你，我忠实的选民！若你再次献上服务，还有其他方式可供效劳。你也可以随自己心意度过余生。你做得很好。"""
"""Do you feel the pull?  You sense the direction of my representative.  It is possible to travel quickly to reach them, or you may journey more deliberately.  It is your decision.""","""你感受到召唤了吗？你能感知到我的代言人所在的方向。你可以快速赶路前往，也可以从容前行。由你来决定。"""
"""I'll live to fight another day!""","""我还能留命再战！"""
"""Leave me.  I need...","""让我独处。我需要……"
"""My other worshippers?  As you wish, my faithful chosen!  There are other ways you can serve, if you offer your service again.  You may also live your life as you see fit now if you choose.  You have done well.""","""我的其他信徒？如你所愿，我忠实的选民！若你再次献上服务，还有其他方式可供效劳。你也可以随自己心意度过余生。你做得很好。"""
"""This place is dangerous.  Steel yourself against ancient enemies.  Try not to let yourself be surrounded, and remain standing.  Enter and vanquish!  Or slip in unseen.  Securing the treasure is all that matters.""","""此地凶险。振作精神，防备远古的敌人。尽量别被围困，并保持站立。进入并将其征服！或者悄悄潜入。夺取宝藏才是最重要的。"""
"""Ungrateful apostate!""","""忘恩负义的叛教者！"""
"""With the treasure, you are near to glory and fulfillment of your task.  Your senses can lead you on your return journey.""","""带着宝藏，你就离荣耀与使命的完成近在咫尺了。你的感官会指引你踏上归途。"""
"""You are approaching your destination.  End your travels now and prepare yourself.""","""你正在接近目的地。现在结束旅行，做好准备。"""
.[C:6:0:1]Needs immobilization,.[C:6:0:1]需要固定伤处
23456789:;<=>?@ABCD6789:;<=>?@ABCD6789:;<=>?@ABCD6789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqcdefghijklmnopqcdefghijklmnopqcdefghijklmnopqrstuvwxyz{|}~,23456789:;<=>?@ABCD6789:;<=>?@ABCD6789:;<=>?@ABCD6789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`abcdefghijklmnopqcdefghijklmnopqcdefghijklmnopqcdefghijklmnopqrstuvwxyz{|}~
99:;<;<=>'??@@@@ABCDBBEFGHIJKLLMNOPQRSTUVWXYYZ[\>'''''''']T^_`abaaaaaacdefghghij__klmnopppqqrst]uvwwxyz,99:;<;<=>'??@@@@ABCDBBEFGHIJKLLMNOPQRSTUVWXYYZ[\>'''''''']T^_`abaaaaaacdefghghij__klmnopppqqrst]uvwwxyz
: Cannot find SPECIFIC_FOOD:CREATURE token,：找不到 SPECIFIC_FOOD:CREATURE 标记
: Cannot find SPECIFIC_FOOD:PLANT token,：找不到 SPECIFIC_FOOD:PLANT 标记
: Could not locate material template,：找不到材质模板
": DEMAND_MAX exceeds 100, capped",：DEMAND_MAX 超过 100，已设为上限
": DEMAND_MAX negative, set to 0",：DEMAND_MAX 为负数，已设为 0
: Did not find plural token following NAME,：NAME 之后未找到复数标记
: Did not find token following NAME,：NAME 之后未找到标记
: Did not find token following SHAPE_CATEGORY,：SHAPE_CATEGORY 之后未找到标记
: Did not find token following TILE,：TILE 之后未找到标记
: Did not find token following TOOL_USE,：TOOL_USE 之后未找到标记
: Did not find token following VALUE,：VALUE 之后未找到标记
: End of current chunk reached while trying to read data.,：读取数据时已到达当前数据块的末尾。
-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRS	TUVWXYZ[\]^_	`abcdefKghijLklmnopqrstuvwxyz,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRS	TUVWXYZ[\]^_	`abcdefKghijLklmnopqrstuvwxyz
.  Destiny is calling!,.  命运正在召唤！
.  Do not tempt fate.,.  不要试图挑战命运。
.  How do you like the sound of that?,.  你觉得这话听起来如何？
".  If you do not find the location in your log, ask others for directions.  You may also follow the pull from your senses.""",".  如果你在日志里找不到该地点，可以向他人询问路线。你也可以跟随感官的指引。"""
.  The musician uses a,.  该乐师使用
.  The ritual involved,.  仪式包括
.  The ritual took place in,.  仪式在
.  This menu will also show you how stealthfully you are moving.,.  此菜单还会显示你当前的潜行移动程度。
.  Will you have me as,.  你愿意让我成为
.  You are a stranger here.,.  你在这里是个陌生人。
".  You are expecting a supply caravan just before winter entombs you, but it is Spring now.  Enough time to delve secure lodgings, ere the",.  你正期待着一支补给商队在寒冬将你封冻之前抵达，但现在还是春天。还有足够的时间挖掘出安全的住所，赶在
. Further duplicates will be printed to errorlog; worldgen will abort.,. 后续的重复项将打印到错误日志；世界生成将中止。
...	(skipping %d levels),...	（跳过 %d 层）
.[C:5:0:1]Rotten -- inoperable,.[C:5:0:1]腐烂 -- 无法使用
": Environment Spec Stone Not Found, Token -",: 未找到环境指定石材，标记 -
": MANDATE_MAX exceeds 100, capped",: MANDATE_MAX 超过 100，已设上限
": MANDATE_MAX negative, set to 0",: MANDATE_MAX 为负值，已设为 0
: NULL job on building load,: 加载建筑时遇到空任务
: NULL master on building load,: 加载建筑时遇到空主单位
: NULL subord on building load,: 加载建筑时遇到空从属单位
: Null Item Assignment (Id,: 空物品分配 (Id
: Null Unit Assignment (Id,: 空单位分配 (Id
: Numbered body parts cannot have children -- number set to 1 (make individual parts if possible),: 有编号的身体部位不能有子部位——编号已设为 1（如有可能请改为独立部位）
: Precedence exceeding,: 优先级超过
": REQUIRED_BEDROOM exceeds 1000000, capped",: REQUIRED_BEDROOM 超过 1000000，已设上限
": REQUIRED_BEDROOM negative, set to 0",: REQUIRED_BEDROOM 为负值，已设为 0
": REQUIRED_BOXES exceeds 100, capped",: REQUIRED_BOXES 超过 100，已设上限
": REQUIRED_BOXES negative, set to 0",: REQUIRED_BOXES 为负值，已设为 0
": REQUIRED_CABINETS exceeds 100, capped",: REQUIRED_CABINETS 超过 100，已设上限
Accept invitation to join,接受加入邀请
Accept that the listener will not trade,接受听者不进行交易
Accept the compliment,接受赞美
Acceptable Fish Liquid Flood Overflow,可接受的鱼类液体洪泛溢出
Acceptable Liquid Flood Overflow,可接受的液体洪泛溢出
Acknowledge lack of agony,确认没有痛苦
Acknowledge lack of alarm,确认没有惊慌
Acknowledge lack of anger,确认没有愤怒
Acknowledge lack of awe,确认没有敬畏
Acknowledge lack of bliss,确认没有狂喜
Acknowledge lack of doubt,确认没有疑虑
Acknowledge lack of fear,确认没有恐惧
Acknowledge lack of glee,确认没有欢欣
Acknowledge lack of gloom,确认没有忧郁
Acknowledge lack of grief,确认没有悲恸
": REQUIRED_CABINETS negative, set to 0",: REQUIRED_CABINETS 为负数，已设为 0
": REQUIRED_DINING exceeds 1000000, capped",: REQUIRED_DINING 超过 1000000，已设上限
": REQUIRED_DINING negative, set to 0",: REQUIRED_DINING 为负数，已设为 0
": REQUIRED_OFFICE exceeds 1000000, capped",: REQUIRED_OFFICE 超过 1000000，已设上限
": REQUIRED_OFFICE negative, set to 0",: REQUIRED_OFFICE 为负数，已设为 0
": REQUIRED_RACKS exceeds 100, capped",: REQUIRED_RACKS 超过 100，已设上限
": REQUIRED_RACKS negative, set to 0",: REQUIRED_RACKS 为负数，已设为 0
": REQUIRED_STANDS exceeds 100, capped",: REQUIRED_STANDS 超过 100，已设上限
": REQUIRED_STANDS negative, set to 0",: REQUIRED_STANDS 为负数，已设为 0
": REQUIRED_TOMB exceeds 1000000, capped",: REQUIRED_TOMB 超过 1000000，已设上限
": REQUIRED_TOMB negative, set to 0",: REQUIRED_TOMB 为负数，已设为 0
: SHOT_FORCE_REQUIRES used unrecognized identifier,: SHOT_FORCE_REQUIRES 使用了无法识别的标识符
": Smelt Ore Not Found, Token -",: 未找到熔炼矿石，标记 -
: Special attack interaction token not recognized :,: 特殊攻击互动标记无法识别：
: Special attack material missing state -- set to liquid,: 特殊攻击材料缺少状态 —— 已设为液体
": Thread Metal Ore Not Found, Token -",：未找到金属矿石拉丝原料，标记 -
: Unrecognized Building Token:,：无法识别的建筑标记：
: Unrecognized Color Token in Material Definition:,：材料定义中无法识别的颜色标记：
: error loading file.,：读取文件时出错。
: media was ejected while reading.,：读取过程中介质被弹出。
: site walker could not find walkable area,：地点巡路器无法找到可行走区域
: site walker could not return to home zone,：地点巡路器无法返回起始区域
: unrecognized INSTRUMENT PIECE tag,：无法识别的 INSTRUMENT PIECE 标签
:BP missing body part group token,：BP 缺少身体部位组标记
:BP missing body part token,：BP 缺少身体部位标记
:BP missing tissue token,：BP 缺少组织标记
:GET_MATERIAL_FROM_REAGENT:metal bars:NONE],：GET_MATERIAL_FROM_REAGENT:metal bars:NONE]
:INTERACTION missing token,：INTERACTION 缺少标记
; switching to portable mode to compensate,；将切换到便携模式以补救
A Bay 12 Games Production,一款 Bay 12 Games 出品的作品
A Grand Guildhall for,宏伟的公会大厅，属于
A ballista's orientation cannot be changed,弩炮的方向无法更改
A bandit gang calling itself,一个自称
"A call to a standard soundcard driver failed, which could possibly mean a bug in the driver or resources were missing or exhausted.",调用标准声卡驱动失败，这可能是驱动本身的缺陷，或资源缺失、耗尽所致。
A careless farmer has defaced a,一个粗心的农夫毁坏了一座
A catapult's orientation cannot be changed,投石机的方向无法更改
A ceremony occurred in,一场仪式在
A competition involving,一场比赛，项目为
A festival commemorating,一场纪念
A few hundred live there,有数百人居住于此
"A few issues still trouble scholars, but the picture is fairly clear.",仍有一些问题困扰着学者们，但大致情况已经比较清楚了。
A few separate groups were organized.,几支独立的队伍被组织了起来。
A few thousand live there,有数千人居住于此
A foolhardy soul might try to rescue the,或许有莽撞之徒会试图营救
A foolish builder defaced a,一个愚蠢的建筑师毁坏了一座
A holy period dedicated to,一个 dedicated to 神圣时期
A kidnapper has made off with,一名绑匪掳走了
A legend?  Here?  I can scarcely believe it.,一个传说？在这里？我简直不敢相信。
"A new chapter of dwarven history begins here at this place,",矮人历史的新篇章在此地开启，
A procession occurred in,在……举行了一场游行
A ramp is a special square that can be traversed to the level above. There must be space above a ramp,斜坡是一种可以通往上一层的特殊方格。斜坡上方必须有空间
A resource that the plugin requires cannot be allocated or found. (ie the DLS file for MIDI playback),插件所需的资源无法分配或找不到。（例如用于 MIDI 播放的 DLS 文件）
A single note in the fundamental scale is named.,基本音阶中的单个音符命名。
A thousand live there,有千人居住于此
A true Mountainhome must have a true throne!,真正的山之城必须拥有真正的王座！
A world gen error from DF,来自《矮人要塞》的世界生成错误
Ability to throw objects.,投掷物体的能力。
About whom do you ask?,你问的是谁？
"Absent alcohol and in warmer weather, you can designate a [C:3:0:0]Water Source[C:7:0:0] from the [C:5:0:1]Zones[C:7:0:0] menu at a river or pond,",在没有酒且天气较暖和的情况下，你可以在河流或池塘处通过 [C:5:0:1]区域[C:7:0:0] 菜单指定 [C:3:0:0]水源[C:7:0:0]，
Accept invitation to become a,接受邀请成为
Acknowledge lack of guilt,承认自己缺乏愧疚
Acknowledge lack of hope,承认自己缺乏希望
Acknowledge lack of joy,承认自己缺乏喜悦
Acknowledge lack of love,承认自己缺乏爱
Acknowledge lack of lust,承认自己缺乏情欲
Acknowledge lack of panic,承认自己缺乏恐慌
Acknowledge lack of pride,承认自己缺乏自豪
Acknowledge lack of rage,承认自己缺乏愤怒
Acknowledge lack of shame,承认自己缺乏羞耻
Acknowledge lack of shock,承认自己缺乏震惊
Acknowledge lack of worry,承认自己缺乏忧虑
Acknowledge lack of wrath,承认自己缺乏暴怒
Acknowledge lack of zeal,承认自己缺乏热忱
Acquiesce (changes your values),默许（会改变你的价值观）
Acquiescing <-> Resists ideas,默许 <-> 抵触新观念
Activity section change,活动区域变更
Advancing activities,推进活动
Advancing building states,推进建筑状态
Advancing interactions,推进交互
Advancing map blocks,推进地图区块
Advancing unit moves,推进单位移动
Advancing vegetation,推进植被
Adventure automove (acrobatic),冒险模式自动移动（特技）
Adventure awaits!  The party:,冒险在等待！队伍成员：
Adventure: Announcements,冒险模式：公告
"Adventure: Assume Identity, Name",冒险模式：扮演身份，姓名
"Adventure: Assume Identity, New",冒险模式：扮演身份，新建
"Adventure: Assume Identity, None",冒险模式：扮演身份，无
"Adventure: Assume Identity, Origin",冒险模式：扮演身份，出身
"Adventure: Assume Identity, Profession",冒险模式：扮演身份，职业
Adventure: Clear announcements,冒险模式：清除通知
Adventure: Combat Options,冒险模式：战斗选项
"Adventure: Combat, Attack Mode",冒险模式：战斗，攻击模式
"Adventure: Combat, Charge Defend Mode",冒险模式：战斗，冲锋防御模式
"Adventure: Combat, Dodge Mode",冒险模式：战斗，闪避模式
Adventure: Companions,冒险模式：同伴
"Adventure: Compose, Filter",冒险模式：创作，筛选
Adventure: Construction,冒险模式：建造
"Adventure: Construction, Assign Zone",冒险模式：建造，指派区域
"Adventure: Construction, Buildings",冒险模式：建造，建筑物
"Adventure: Construction, Constructions",冒险模式：建造，建筑结构
"Adventure: Construction, Delete Zone",冒险模式：建造，删除区域
"Adventure: Construction, Edit Zone",冒险模式：建造，编辑区域
"Adventure: Construction, Material",冒险模式：建造，材料
"Adventure: Construction, Name Site",冒险模式：建造，命名地点
"Adventure: Assume Identity, Worship",冒险模式：假扮身份、崇拜
"Adventure: Attack, Charge",冒险模式：攻击、冲锋
"Adventure: Attack, Confirm",冒险模式：攻击、确认
"Adventure: Attack, Heavy",冒险模式：攻击、重击
"Adventure: Attack, Multi",冒险模式：攻击、多重
"Adventure: Attack, Precise",冒险模式：攻击、精准
"Adventure: Attack, Quick",冒险模式：攻击、迅速
"Adventure: Attack, Wild",冒险模式：攻击、狂乱
"Adventure: Barter, Currency 1",冒险模式：讨价还价、货币 1
"Adventure: Barter, Currency 2",冒险模式：讨价还价、货币 2
"Adventure: Barter, Show",冒险模式：讨价还价、展示
"Adventure: Barter, Trade",冒险模式：讨价还价、交易
"Adventure: Barter, View",冒险模式：讨价还价、查看
Adventure: Building Interact,冒险模式：与建筑互动
Adventure: Change Stance,冒险模式：改变姿势
"Adventure: Construction, New Zone",冒险模式：建造，新建区域
"Adventure: Construction, Remove Existing",冒险模式：建造，移除已有建筑
"Adventure: Construction, Remove Plans",冒险模式：建造，移除计划
"Adventure: Construction, Remove Zone Rect",冒险模式：建造，移除区域选框
"Adventure: Construction, Stair Up/down",冒险模式：建造，上/下楼梯
"Adventure: Construction, Start",冒险模式：建造，开始
"Adventure: Construction, Work Menu",冒险模式：建造，工作菜单
"Adventure: Construction, You Work",冒险模式：建造，亲自工作
"Adventure: Construction, Zone Flow",冒险模式：建造，区域流动
"Adventure: Construction, Zone Rect",冒险模式：建造，区域选框
"Adventure: Construction, Zones",冒险模式：建造，区域
"Adventure: Creation, Add Pet",冒险模式：创建，添加宠物
"Adventure: Creation, Appearance",冒险模式：创建，外貌
"Adventure: Creation, Background",冒险模式：创建，背景
"Adventure: Creation, Belief Down",冒险模式：创建，降低信仰
"Adventure: Creation, Belief Up",冒险模式：创建角色，信仰增加
"Adventure: Creation, Change Dream/Goal",冒险模式：创建角色，更改梦想/目标
"Adventure: Creation, Change Gender",冒险模式：创建角色，更改性别
"Adventure: Creation, Custom Personality",冒险模式：创建角色，自定义性格
"Adventure: Creation, Customize Name",冒险模式：创建角色，自定义名字
"Adventure: Creation, Equipment",冒险模式：创建角色，装备
"Adventure: Creation, Full Random Appearance",冒险模式：创建角色，完全随机外观
"Adventure: Creation, Name Entry",冒险模式：创建角色，输入名字
"Adventure: Creation, Name Pet",冒险模式：创建角色，为宠物命名
"Adventure: Creation, New Character",冒险模式：创建角色，新角色
"Adventure: Creation, New Item",冒险模式：创建角色，新物品
"Adventure: Creation, Personality",冒险模式：创建角色，性格
"Adventure: Creation, Pets",冒险模式：创建角色，宠物
"Adventure: Creation, Quality Down",冒险模式：创建角色，品质降低
"Adventure: Creation, Quality Up",冒险模式：创建角色，品质提升
"Adventure: Creation, Random Appearance",冒险模式：创建，随机外貌
"Adventure: Creation, Random Name",冒险模式：创建，随机姓名
"Adventure: Creation, Random Personality",冒险模式：创建，随机性格
"Adventure: Creation, Randomize Background",冒险模式：创建，随机背景
"Adventure: Creation, Remove Pet",冒险模式：创建，移除宠物
"Adventure: Creation, Select Background",冒险模式：创建，选择背景
"Adventure: Creation, Skills",冒险模式：创建，技能
Adventure: Describe Odor,冒险模式：描述气味
Adventure: Display Strongest Odor,冒险模式：显示最浓气味
Adventure: Display Tracks,冒险模式：显示足迹
Adventure: Freshest Track,冒险模式：最新足迹
Adventure: Get Temperature,冒险模式：获取温度
Adventure: Get Weather,冒险模式：获取天气
Adventure: Get/Ground,冒险模式：获取/地面
Adventure: Hold/Hang (Climb),冒险模式：抓握/悬挂（攀爬）
Adventure: Inv. Draw Weapon,冒险模式：物品栏 拔出武器
Adventure: Inv. Drop,冒险模式：物品栏 丢下
Adventure: Inv. Eat/Drink,冒险模式：物品栏 进食/饮水
Adventure: Inv. Interact,冒险模式：物品栏 互动
Adventure: Inv. Look,冒险模式：物品栏 查看
Adventure: Inv. Put In,冒险模式：物品栏 放入
Adventure: Inv. Remove,冒险模式：物品栏 取出
Adventure: Inv. Wear,冒险模式：物品栏 穿戴
Adventure: List down,冒险模式：列表向下
"Adventure: Log, Agreements",冒险模式：日志，协议
"Adventure: Log, Artifacts",冒险模式：日志，神器
"Adventure: Log, Bestiary",冒险模式：日志，生物图鉴
"Adventure: Log, Entities",冒险模式：日志，势力
"Adventure: Log, Events",冒险模式：日志，事件
"Adventure: Log, Feature Layers",冒险模式：日志，特征层
"Adventure: Log, Filter",冒险模式：日志，筛选
"Adventure: Log, Intrigue",冒险模式：日志，阴谋
"Adventure: Log, People",冒险模式：日志，人物
"Adventure: Log, Regions",冒险模式：日志，区域
"Adventure: Log, Sites",冒险模式：日志，地点
"Adventure: Log, Sort",冒险模式：日志，排序
"Adventure: Log, Toggle Line",冒险模式：日志，切换行
"Adventure: Log, Toggle Map/Info",冒险模式：日志，切换地图/信息
"Adventure: Log, Zoom to Current Location",冒险模式：日志，缩放至当前位置
"Adventure: Log, Zoom to Selected",冒险模式：日志，缩放至选中项
Adventure: Misc. Action,冒险模式：其他行动
"Adventure: Misc. Action, Ability",冒险模式：其他行动，能力
"Adventure: Misc. Action, Butcher",冒险模式：其他行动，屠宰
"Adventure: Misc. Action, Compose",冒险模式：其他行动，创作
"Adventure: Misc. Action, Create",冒险模式：其他行动，创造
"Adventure: Misc. Action, Power",冒险模式：杂项行动，力量
"Adventure: Misc. Action, Write",冒险模式：杂项行动，书写
Adventure: Movement Options,冒险模式：移动选项
"Adventure: Movement Options, Swim",冒险模式：移动选项，游泳
Adventure: Nock or Load Ranged Weapon,冒险模式：搭箭或装填远程武器
Adventure: Page list down,冒险模式：列表下一页
Adventure: Page list up,冒险模式：列表上一页
Adventure: Party Tactical Settings,冒险模式：队伍战术设置
"Adventure: Sleep, Dawn",冒险模式：睡眠，睡到黎明
"Adventure: Sleep, Sleep",冒险模式：睡眠，入睡
"Adventure: Sleep, Wait",冒险模式：睡眠，等待
Adventure: Speed and Sneaking Options,冒险模式：速度与潜行选项
"Adventure: Status, Att/Skills",冒险模式：状态，属性/技能
"Adventure: Status, Close Combat",冒险模式：状态，近战
"Adventure: Status, Customize",冒险模式：状态，自定义
"Adventure: Status, Desc",冒险模式：状态、描述
"Adventure: Status, Health",冒险模式：状态、健康
"Adventure: Status, Kills",冒险模式：状态、击杀
"Adventure: Travel, Clouds",冒险模式：旅行、云层
"Adventure: Travel, Hide Instructions",冒险模式：旅行、隐藏说明
"Adventure: Travel, Log",冒险模式：旅行、日志
"Adventure: Travel, Map",冒险模式：旅行、地图
"Adventure: Travel, Sleep",冒险模式：旅行、睡觉
"Adventure: Travel, Visit Site",冒险模式：旅行、访问地点
Adventure: Use Ability,冒险模式：使用能力
Adventure: Wait One Instant,冒险模式：等待一瞬
Adventure: Wait Ten Instants,冒险模式：等待十瞬
Adventure: careful move east up/down,冒险模式：小心向东上/下移动
Adventure: careful move north up/down,冒险模式：小心向北/南上/下移动
Adventure: careful move northeast up/down,冒险模式：小心向东北/西南上/下移动
Adventure: careful move northwest up/down,冒险模式：谨慎向西北上/下移动
Adventure: careful move south up/down,冒险模式：谨慎向南上/下移动
Adventure: careful move southeast up/down,冒险模式：谨慎向东南上/下移动
Adventure: careful move southwest up/down,冒险模式：谨慎向西南上/下移动
Adventure: careful move up/down,冒险模式：谨慎上/下移动
Adventure: careful move west up/down,冒险模式：谨慎向西上/下移动
Adventure: move down,冒险模式：向下移动
"Adventure: move down, aux",冒险模式：向下移动，辅助键
Adventure: move east,冒险模式：向东移动
Adventure: move east/down,冒险模式：向东/下移动
Adventure: move east/up,冒险模式：向东/上移动
Adventure: move north,冒险模式：向北移动
Adventure: move north/down,冒险模式：向北/下移动
Adventure: move north/up,冒险模式：向北/上移动
