text,translation
 has brought back a rumor from abroad., 带回了一些国外的传闻. 
 has arrived., 已经到达. 
 is visiting., 正在参观. 
", the performance troupe, has arrived.",",表演队已经到了. "
", a performance troupe, is visiting.",",一个表演团前来拜访. "
Spoils Report: ,破坏报告: 
 and others, 和别的
Winter,冬季
Autumn,秋季
Summer,夏季
Spring,春季
The dead walk.  Hide while you still can!,亡灵侵袭. 能躲起来的都先藏好!
"Forms twisted from their nature, legion of the night.  What hope remains?","本性扭曲,昼伏夜动,希望何存?"
"A vile force of darkness has arrived, seeking a parley!","一股卑鄙的黑暗势力已经到来,请求谈判!"
The enemy have come and are preparing to lay siege.  They seek a parley!,"敌人来了,正准备围攻. 他们寻求一个伙伴!"
An army has come to your lands seeking a parley.,一支军队来到你的土地并寻求谈判. 
A vile force of darkness has arrived!,一股可恨的黑暗大军到来了!
The enemy have come and are laying siege to the fortress.,敌人来此围攻要塞.
An army is invading!,一支军队正在入侵!
the Dissolution,解散
I was yelled at by an unhappy citizen.,我被一个不快乐的公民大吼大叫. 
overlord,霸王
overlords,霸主
 has been founded , 已成立 
", has been conquered and",",已被征服和"
", has been",",一直"
 incorporated into your holdings., 并入你的馆藏. 
 has been conquered and now," 已被征服,现在"
 looks to your thriving economy for its future prosperity., 期待你蓬勃发展的经济和未来的繁荣. 
save,拯救
One of the compressed files on disk has errors in it.  Restore from backup if you are able.,"磁盘上的一个压缩文件中有错误. 如果可以,请从备份还原. "
prostrating ,跪拜 
themselves,他们自己
torturing ,折磨 
committing a depraved act upon ,犯下堕落的罪行 
devouring ,吞噬 
admiring ,令人赞赏的 
burning ,燃烧 
shooting ,射击 
surrounded by ,被围绕于 
massacring ,屠杀 
fighting with ,正战斗于 
greeting ,欢迎 
refusing ,拒不 
speaking with ,说话 
embracing ,拥抱 
striking down ,打倒了 
raising ,提高 
hiding ,藏 
praying to ,祈祷 
contemplating ,深思 
cooking ,烹饪 
engraving ,雕刻 
impaled on ,刺穿了 
being flayed by ,被剥皮了 
hanging from ,悬挂着 
being mutilated by ,被肢解 
praying,祈祷
weeping,泣
cringing,畏缩
screaming,尖叫
being tortured,被折磨
committing a depraved act,做出堕落的行为
making a submissive gesture,做出顺从的手势
in a fetal position,处于胎部的位置
smeared out into a spiral,涂成螺旋状
falling,落下
dead,死
laughing,笑
being shot,被枪杀
making a plaintive gesture,做出一个悲惨的手势
melting,融化
burning,燃烧
look,看
looks,容貌
 dejected, 垂头丧气的
 terrified, 极度恐慌的
 offended, 生气
 confused, 困惑
suffering,痛苦
withering away,萎缩
striking a menacing pose,摆出一个引人注目的手势
striking a triumphant pose,摆出一个胜利的手势
laboring,劳动
traveling,旅行
contemplating,深思
cooking,烹饪
engraving,雕刻
unnaturally contorted,不自然的扭曲
being flayed,被剥皮了
being mutilated,被肢解的
Untitled,无题
", the deity of ",",神之于 "
", depicted as a ",",描绘为 "
skeletal ,骨骼 
rotting ,腐烂 
ghostly ,幽灵的 
female ,女性 
male ,男性 
the deity of ,神之于 
argument,争论
Click a building to link to ,点击要连接到的建筑 
 values such powerful forces in life, 重视生活中如此强大的力量
"is a complete scatterbrain, unable to focus on a single matter for more than a passing moment","完全无法集中精神,对于一件事的专注不超过一秒钟"
would never under any circumstances speak up or otherwise put forth ,在任何情况下都不会说出来或以其他方式提出 
Link to ,连接至 
Cannot link to ,无法连接至 
will be installed at ,将被安装至 
will be installed at target,将被安装至目标点
Owner: ,所有者: 
Weight: ,重量: 
Value: ,价值: 
View,查看
View stockpile,检视储物区
Uses,使用
Engraving ,雕刻 
Specify image,镜像文件
Enraged at all enemies!,对所有敌人都充满了愤怒!
In a martial trance!,在军事恍惚!
Throwing a tantrum!,发脾气!
Sunk into depression...,陷入萧条......
Stumbling obliviously!,无意中磕磕绊绊!
Corrupt Soldier Mood: ,腐败的士兵心情: 
Has a horrible fell look!,看起来很糟糕!
Brooding darkly...,黑暗地沉思......
Has the aspect of one fey!,有了作妖的一面
Peculiarly secretive...,异常隐秘的
Possessed by unknown forces!,被未知力量所拥有!
Stricken by melancholy...,被心中忧郁击垮了...
Crawling around babbling!,"到处乱爬,嘴里含糊不清"
Running around babbling!,唠叨呀呀!
Crawling around crazed!,疯狂地爬行!
Running around crazed!,跑来跑去疯狂!
In a berserk rage!,狂暴的狂暴!
Staring off into space...,盯着太空......
Corrupt Strange Mood: ,腐败奇怪的心情: 
Overcome by terror!,克服恐怖!
In emotional shock!,感情上的打击
Overwhelmed by horror!,惊恐万分!
Experiencing mortal fear!,经历凡人的恐惧!
Beside ,旁 
herself,她自己
himself,他自己
 with grief!, 因悲痛
Drowning in sadness!,陷入悲伤!
Writhing in agony!,疼的直打滚!
Anguished!,痛!太痛了!
Lost in despair!,绝望地迷失了!
Completely dismayed!,彻底惊慌
Distressed!,苦恼!
Taken by a fright!,被吓坏了!
Wallowing in misery!,沉浸在痛苦之中!
Truly mortified!,终极侮辱!
Shaken to the core!,动摇了核心!
In existential crisis!,生死存亡之间!
Emotionally overloaded!,情绪崩溃
Pet of ,宠物之于 
Somebody,谁
Creator of ,创造者之于 
Cannot expel or send away:,无法驱逐或者赶走
Does the expelling,执行驱逐
Nobility,贵族
Holds elected office,担任民选公职
Spouse does the expelling,配偶执行驱逐
Spouse is not present,配偶没有在场
Spouse is nobility,配偶是贵族
Spouse is elected,配偶当选官员
Child does the expelling,子女执行驱逐
Child is not present,子女没有在场
Child is nobility,孩子是贵族
Child is elected,子女当选官员
Expel,驱逐
Send to ,遣送至 
Send away,送走
Cancel,取消
Overview,概述
Items,项目
Health,健康
Rooms,房间
Relations,关系
Groups,组
Thoughts,想法
Personality,性格
 Year, 年
 Old, 老
Spouse: ,配偶: 
 lovers, 恋人们
Lover: ,恋人: 
 children, 孩子
Child: ,孩子: 
 pets, 宠物
Strong,强壮
Agile,敏捷
Tough,坚固的
High stamina,高耐力
Recovers quickly,快速恢复
Resists sickness,抵御疾病
Weak,弱
Clumsy,笨拙
Frail,虚弱
Low stamina,低耐力
Recovers slowly,缓慢恢复
Sickly,体弱多病
Good analytical ability,良好的分析能力
Good focus,不错的专注力
High willpower,高毅力
Creative,创意的
Good intuition,良好的直觉
Patient,病患
Good memory,过目不忘
Good with language,能言善辩
Good spatial sense,良好的空间感
Musical,音乐的
High kinesthetic sense,高的动觉
Developed empathy,同情心
High social awareness,强共情能力
Poor analytical ability,分析能力差
Poor focus,缺乏专注
Low willpower,毅力低下
Not creative,没有想象力的
Poor intuition,贫乏的直觉
Impatient,没有耐心的
Poor memory,健忘
Bad with words,不善言辞
Poor spatial sense,空间感差
Not musical,没有乐感
Poor kinesthetic sense,糟糕的身体感知能力
Poor empathy,缺乏同情
Poor social awareness,弱共情能力
Quick to love,容易陷入爱河的
Hateful,可恨
Envious,嫉妒的
Cheerful,开朗
Depression-prone,抑郁症
Anger-prone,易怒
Anxious,焦虑的
Lustful,好色
Easily stressed,容易紧张
Greedy,贪婪的
Intemperate,放纵的
Brawler,打手
Stubborn,顽固
Wasteful,浪费
Prone to discord,容易产生矛盾
Flatterer,奉承者
Polite,礼貌
Disdains advice,蔑视建议
Fearless,无畏的
Overconfident,过度自信
Vain,自负的
Ambitious,有雄心的
Gracious,和蔼的
Extravagant,挥霍的
Zany,滑稽的
Vengeful,复仇心重
Proud,骄傲
Cruel,残酷
Single-minded,内心单纯
Hopeful,希望
Curious,好奇的
Bashful,害羞
Private,私人
Perfectionist,完美主义者
Obstinate,固执
Tolerant,包容的
Emotional obsessive,强迫症
Swayed by emotions,情绪化的
Altruistic,无私的
Dutiful,孝顺
Thoughtless,轻率
Orderly,有条理
Trusting,信任的
Gregarious,合群的
Overbearing,咄咄逼人
Frenetic,狂热
Thrill-seeker,探险家
Flights of fancy,异想天开
Inclined to abstract,倾向于抽象的
Artistically inclined,有艺术倾向的
Slow to love,难以陷入爱河的
Slow to hate,不易仇恨他人
Not envious,不羡慕
Cheerless,高冷
Not easily depressed,乐观
Slow to anger,不轻易动怒
Not anxious,不焦虑
Not lustful,不好色. 
Resilient,有适应力的
Not greedy,不贪心
Temperate,温和
Avoid fights,爱好和平
Quick to give up,轻易放弃
Not wasteful,不浪费
Seeks harmony,寻求和谐
Quarreler,争吵者
Rude,粗鲁的
Overreliant on advice,过度依赖他人的建议
Fearful,害怕的
Pusillanimous,胆小的
Not vain,淡薄名利
Not ambitious,安于现状
Ungrateful,忘恩负义
Austere,苦行者
Humorless,不苟言笑
Not vengeful,不计前嫌
Low self esteem,自卑
Merciful,仁慈的
Scatterbrained,心不在焉
Quick to despair,悲观
Incurious,无好奇心的
Shameless,无耻的
Overshares,喜欢分享自己的隐私信息
Inattentive,心不在焉
Acquiescing,默然
Intolerant,心胸狭窄
Emotionally distant,不愿深交
Unswayed by emotions,泰然自若
Not altruistic,非利他的
Not dutiful,敷衍了事
Overcautious,谨小慎微
Sloppy,马虎
Distrustful,多疑
Loner,孤僻
Unassertive,谦逊
Leisurely,从容
Avoids excitement,避免过度兴奋
Fact-oriented,事实导向
Not inclined to abstract,不倾向于抽象的
Not inclined to create art,不倾向于艺术创作
Values law,重视法律
Values loyalty,重视忠诚
Values family,重视家庭
Values friendship,重视友谊
Values power,重视权利
Values truth,重视真相
Values cunning,重视诡诈
Values eloquence,重视口才
Values fairness,重视公平
Values decorum,重视礼仪
Values tradition,重视传统
Values artwork,重视艺术作品
Values cooperation,重视合作
Values independence,重视独立
Values stoicism,重视恬淡寡欲
Values introspection,重视内省
Values self-control,重视自我控制
Values tranquility,重视安宁
Values harmony,重视和谐
Values merriment,重视狂欢
Values craftwork,重视手工艺品
Values martial prowess,重视武艺高强
Values skill,重视技能
Values hard work,重视勤劳
Values sacrifice,重视牺牲
Values competition,重视竞争
Values perseverance,重视坚持不懈
Values leisure time,重视闲暇时光
Values commerce,重视贸易
Values romance,重视爱情
Values nature,重视自然
Values peace,重视和平
Values knowledge,重视知识
Disdains law,鄙弃法律
Disdains loyalty,鄙弃忠诚
Disdains family,鄙弃家庭
Disdains friendship,鄙弃友谊
Disdains power,鄙弃权利
Disdains truth,鄙弃真相
Disdains cunning,鄙弃诡计
Disdains eloquence,鄙弃口才
Disdains fairness,鄙弃公正
Disdains decorum,鄙弃礼仪
Disdains tradition,鄙弃传统
Disdains artwork,鄙弃艺术作品
Disdains cooperation,鄙弃合作
Disdains independence,鄙弃独立
Disdains stoicism,鄙弃恬淡寡欲
Disdains introspection,鄙弃自省
Disdains self-control,鄙弃自律
Disdains tranquility,鄙弃安宁
Disdains harmony,鄙弃和谐
Disdains merriment,鄙弃狂欢
Disdains craftwork,鄙弃手工艺品
Disdains martial prowess,鄙弃武艺高强
Disdains skill,鄙弃技能
Disdains hard work,鄙弃努力工作
Disdains sacrifice,鄙弃牺牲
Disdains competition,鄙弃竞争
Disdains perseverance,鄙弃坚持不懈
Disdains leisure time,鄙弃闲暇时光
Disdains commerce,鄙弃商业
Disdains romance,鄙弃爱情
Disdains nature,鄙弃自然
Disdains peace,鄙弃和平
Disdains knowledge,鄙弃知识
Harrowed,耙
Haggard,枯槁
Stressed,心力交瘁
Starving,饥饿
Hungry,饿
Dehydrated,脱水
Thirsty,渴
Very drowsy,很困
Drowsy,昏昏欲睡
Very hungry,非常饥饿
Thirsty!,渴!
Very thirsty,非常渴
Unconscious,无意识
Paralyzed,麻痹
Partially paralyzed,部分麻痹
Sluggish,呆滞
Stunned,震惊
Dizzy,头晕
Exhausted,累
Over-exerted,力竭
Tired,累
Drowning,溺水
Winded,冗长
Nauseous,恶心
Extreme pain,极度痛苦
Pain,痛苦
Numb,麻木
Pale,苍白
Faint,微弱
Fever,发烧
Heavy bleeding,大量出血
Bleeding,流血的
Webbed,被网缠住的
Partially webbed,部分被网缠住的
Seriously injured,重伤
Injured,受伤的
Healthy,健康的
Needs ,需要 
No official position,没有办公地点
Haul: ,拖着: 
Squad: ,队: 
None,无
Focused!,关注!
Focused,重点
Distracted!,分心!
Distracted,分心
No unmet needs,需求均已满足
Unmet need: ,未满足需求: 
Drink alcohol,饮酒
Pray ,祈祷 
Meditate,幽思
Stay occupied,仍旧被占领
Be creative,要有创意
Admire art,欣赏艺术
Excitement,激动
Learn something,学习某物
Be with family,与家人在一起
Be with friends,和朋友一起
Hear eloquence,听演讲
Uphold tradition,坚持传统
Self-examination,自我检查
Make merry,尽情欢乐
Craft object,工艺品
Martial training,武术训练
Practice skill,练习技巧
Take it easy,放轻松
Make romance,寻求浪漫
See animal,查看动物
See great beast,看到巨兽
Acquire object,获得物品
Eat good meal,吃好饭
Fight,战斗
Cause trouble,惹麻烦
Argue,争论
Be extravagant,太奢侈了
Wander,漫步
Help somebody,帮助某人
Think abstractly,抽象地思考
Status,要塞总览
Wounds,伤处
Treatment,治疗
History,历史
Description,描述
Social,社会
Other skills,其他技能
Philosophy,哲学
Mathematics,数学
Astronomy,天文
Natural history,自然历史
Chemistry,化学
Geography,地理
Medicine,医学
Engineering,工程学
Poetic form,诗歌体裁
Musical form,音乐体裁
Dance form,舞蹈体裁
Manual,手册
Guide,指南
Chronicle,编年史
Short story,短篇故事
Novel,小说
Biography,传
Autobiography,自传
Poem,诗
Letter,信
Essay,文章
Dialog,对话
Musical composition,音乐作品
Choreography,编舞
Comparative biography,比较传记
Biographical dictionary,传记字典
Genealogy,家谱
Encyclopedia,百科全书
Cultural history,文化史
Cultural comparison,文化比较
Alternate history,替代历史
Treatise on technological evolution,关于技术进化的论述
Dictionary,字典
Star chart,星图
Star catalogue,星表
Atlas,舆图
No assigned rooms,未分配的房间
Work details,工作细节
Workshops,工坊
Locations,地点
Work animals,家畜
Will only do assigned tasks,只做分配的工作
Will do available tasks anywhere,完成可执行的所有工作
Cannot assign work details,不能分配细活
No work details,没有工作细节
No dedicated workshop assignments,未分配专用工坊
No location assignments,未分配工作位置
Tavern keeper,酒保
Performer,表演
Scholar,学者
Scribe,抄写员
Mercenary,佣兵
Monster slayer,怪物杀手
Doctor,医生
Diagnostician,诊断医师
Surgeon,外科医师
Bone doctor,正骨医生
Cannot assign work animals,无法分配工作动物
No assigned or assignable work animals,无指定或可指定的工作动物
No relationships,没有关系
Pet,宠物
Pet owner,宠物主人
Spouse,伴侣
Mother,母亲
Father,父亲
Lover,恋人
Child,儿童
Bonded,亲密的
Childhood friend,儿时的朋友
War buddy,战友
Obsession,痴迷
Fellow scholar,研究员
Fellow artist,艺术家
Fellow athlete,运动员
Kindred spirit,同志
Close friend,亲密的朋友
Friend,朋友
Athletic rival,运动竞争对手
Business rival,商业竞争对手
Persecutor,虐待者
Religious persecutor,宗教迫害者
Grudge,怨恨
Jealous grudge,嫉恨
Supernatural vengeance,灵异复仇
Pure hate,非常讨厌
Hated,讨厌
Disliked,不喜欢
Deity,神祇
Force,力量
Object of worship,崇拜对象
Long-term acquaintance,老朋友
Passing acquaintance,普通朋友
Hero,英雄
Intruder,侵入者
Considers monster,怪物
Considers brigand,山贼
Considers bully,看作为恶霸
Considers preacher,传教士
Considers storyteller,说书人
Considers poet,诗人
Considers bard,吟游诗人
Considers dancer,舞者
Considers violent,精神暴力
Considers psychotic,精神病
Good for business,对买卖有利
Friendly terms,友善的条款
Considers killer,杀手
Considers murderer,谋杀犯
Comrade,同志
Member of respected group,受人尊敬的团体中的成员
Member of hated group,受人憎恶的团体中的一员
Enemy fighter,敌方战士
Friendly fighter,友军
Loyal soldier,忠诚士兵
Master,大师
Apprentice,学徒
Companion,伴侣
Former master,资深大师
Former apprentice,前任学徒
Considers quarreler,杠精
Considers flatterer,马屁精
Hunter,猎人
Protector of the weak,庇护者
Preserver of knowledge,博学大师
Treasure hunter,淘金者
Thief,小偷
No groups,没有团体
Civilization,文明
Site government,地区政府
Vessel crew,船员
Migrating group,迁徙族群
Nomadic group,游牧族群
Religion,宗教
Military organization,军事组织
Outcast,弃儿
Performance troupe,表演团
Merchant company,商行
craft,手工艺
 guild, 公会
Legendary hero,传奇英雄
Famous her,名声显赫的的她
Greatly respected for heroic acts,为人传颂的英雄之举
Respected for heroic acts,因为英雄之举被尊敬
Legendary intruder,传奇侵略者
Infamous intruder,臭名昭著的入侵者
Noted intruder according,"著名的入侵者,被此记录:"
Certainly considered an intruder,被肯定地看做是一名入侵者
