text,translation
This is a copper training sword.  ,这是一把铜训练剑。
This is a copper training spear.  ,这是一杆铜训练矛。
This is a copper great pick.  ,这是一把铜巨镐。
This is a copper bolt.  ,这是一支铜弩箭。
This is a copper arrow.  ,这是一支铜箭。
This is a copper blowdart.  ,这是一支铜吹镖。
This is a bronze whip.  ,这是一条青铜长鞭。
This is a bronze battle axe.  ,这是一把青铜战斧。
This is a iron bow.  ,这是一把铁弓。
This is a iron blowgun.  ,这是一把铁吹箭筒。
This is a iron pike.  ,这是一杆铁长矛。
This is a iron halberd.  ,这是一把铁戟。
This is a iron two-handed sword.  ,这是一把铁双手剑。
This is a iron long sword.  ,这是一把铁长剑。
This is a iron maul.  ,这是一柄铁战锤。
This is a iron great axe.  ,这是一把铁巨斧。
This is a iron dagger.  ,这是一把铁匕首。
This is a iron scourge.  ,这是一条铁鞭。
This is a iron flail.  ,这是一柄铁链枷。
This is a iron morningstar.  ,这是一柄铁晨星锤。
This is a iron scimitar.  ,这是一把铁弯刀。
This is a iron training axe.  ,这是一把铁训练斧。
This is a iron training sword.  ,这是一把铁训练剑。
This is a nickel silver training axe.  ,这是一把镍银训练斧。
This is a nickel silver training sword.  ,这是一把镍银训练剑。
This is a nickel silver training spear.  ,这是一把镍银训练矛。
This is a nickel silver great pick.  ,这是一把镍银巨镐。
This is a nickel silver bolt.  ,这是一支镍银弩箭。
This is a nickel silver arrow.  ,这是一支镍银箭。
This is a nickel silver blowdart.  ,这是一支镍银吹箭。
This is a iron whip.  ,这是一把铁鞭。
This is a iron battle axe.  ,这是一把铁战斧。
This is a iron war hammer.  ,这是一把铁战锤。
This is a iron short sword.  ,这是一把铁短剑。
This is a iron spear.  ,这是一把铁矛。
This is a iron mace.  ,这是一把铁钉头锤。
This is a iron crossbow.  ,这是一把铁弩。
This is a iron pick.  ,这是一把铁镐。
This is a nickel silver crossbow.  ,这是一把镍银弩。
This is a nickel silver pick.  ,这是一把镍银镐。
This is a nickel silver bow.  ,这是一把镍银弓。
This is a nickel silver blowgun.  ,这是一把镍银吹箭筒。
This is a nickel silver pike.  ,这是一把镍银长枪。
This is a nickel silver halberd.  ,这是一把镍银戟。
This is a nickel silver two-handed sword.  ,这是一把镍银双手剑。
This is a nickel silver long sword.  ,这是一把镍银长剑。
This is a nickel silver maul.  ,这是一把镍银巨锤。
This is a nickel silver great axe.  ,这是一把镍银巨斧。
This is a nickel silver dagger.  ,这是一把镍银匕首。
This is a nickel silver scourge.  ,这是一条镍银鞭笞。
This is a nickel silver flail.  ,这是一把镍银连枷。
This is a nickel silver morningstar.  ,这是一把镍银晨星锤。
This is a nickel silver scimitar.  ,这是一把镍银弯刀。
This is a pig iron pike.  ,这是一把生铁长矛。
This is a pig iron halberd.  ,这是一把生铁戟。
This is a pig iron two-handed sword.  ,这是一把生铁双手剑。
This is a pig iron long sword.  ,这是一把生铁长剑。
This is a pig iron maul.  ,这是一把生铁大锤。
This is a pig iron great axe.  ,这是一把生铁巨斧。
This is a pig iron dagger.  ,这是一把生铁匕首。
This is a pig iron scourge.  ,这是一条生铁链鞭。
This is a pig iron flail.  ,这是一把生铁连枷。
This is a pig iron morningstar.  ,这是一把生铁晨星锤。
This is a pig iron scimitar.  ,这是一把生铁弯刀。
This is a pig iron training axe.  ,这是一把生铁训练斧。
This is a pig iron training sword.  ,这是一把生铁训练剑。
This is a pig iron training spear.  ,这是一把生铁训练矛。
This is a pig iron great pick.  ,这是一把生铁巨镐。
This is a iron training spear.  ,这是一把铁制训练矛。
This is a iron great pick.  ,这是一把铁制巨镐。
This is a iron bolt.  ,这是一支铁制弩矢。
This is a iron arrow.  ,这是一支铁制箭。
This is a iron blowdart.  ,这是一支铁制吹镖。
This is a pig iron whip.  ,这是一条生铁鞭。
This is a pig iron battle axe.  ,这是一把生铁战斧。
This is a pig iron war hammer.  ,这是一把生铁战锤。
This is a pig iron short sword.  ,这是一把生铁短剑。
This is a pig iron spear.  ,这是一支生铁矛。
This is a pig iron mace.  ,这是一柄生铁钉头锤。
This is a pig iron crossbow.  ,这是一把生铁弩。
This is a pig iron pick.  ,这是一把生铁镐。
This is a pig iron bow.  ,这是一把生铁弓。
This is a pig iron blowgun.  ,这是一支生铁吹箭筒。
This is a gold battle axe.  ,这是一把黄金战斧。
This is a gold war hammer.  ,这是一把黄金战锤。
This is a gold short sword.  ,这是一把黄金短剑。
This is a gold spear.  ,这是一把黄金长矛。
This is a gold mace.  ,这是一把黄金钉头锤。
This is a gold crossbow.  ,这是一把黄金弩。
This is a gold pick.  ,这是一把黄金镐。
This is a gold bow.  ,这是一把黄金弓。
This is a gold blowgun.  ,这是一把黄金吹箭。
This is a gold pike.  ,这是一把黄金长枪。
This is a gold halberd.  ,这是一把黄金戟。
This is a gold two-handed sword.  ,这是一把黄金双手剑。
This is a gold long sword.  ,这是一把黄金长剑。
This is a gold maul.  ,这是一把黄金大锤。
This is a gold great axe.  ,这是一把黄金巨斧。
This is a silver maul.  ,这是一把银锤。
This is a silver great axe.  ,这是一把银巨斧。
This is a silver dagger.  ,这是一把银匕首。
This is a silver scourge.  ,这是一条银鞭笞。
This is a silver flail.  ,这是一把银连枷。
This is a silver morningstar.  ,这是一把银晨星锤。
This is a silver scimitar.  ,这是一把银弯刀。
This is a silver training axe.  ,这是一把银训练斧。
This is a silver training sword.  ,这是一把银训练剑。
This is a silver training spear.  ,这是一把银训练矛。
This is a silver great pick.  ,这是一把银巨镐。
This is a silver bolt.  ,这是一支银弩箭。
This is a silver arrow.  ,这是一支银箭。
This is a silver blowdart.  ,这是一支银吹箭。
This is a gold whip.  ,这是一条金鞭。
This is a pig iron bolt.  ,这是一支生铁弩箭。
This is a pig iron arrow.  ,这是一支生铁箭。
This is a pig iron blowdart.  ,这是一枚生铁吹箭。
This is a steel whip.  ,这是一把钢鞭。
This is a steel battle axe.  ,这是一把钢制战斧。
This is a steel war hammer.  ,这是一把钢制战锤。
This is a steel short sword.  ,这是一把钢制短剑。
This is a steel spear.  ,这是一支钢矛。
This is a steel mace.  ,这是一把钢制钉头锤。
This is a steel crossbow.  ,这是一把钢弩。
This is a steel pick.  ,这是一把钢镐。
This is a steel bow.  ,这是一把钢弓。
This is a steel blowgun.  ,这是一把钢制吹箭筒。
This is a steel pike.  ,这是一支钢制长矛。
This is a steel halberd.  ,这是一把钢制戟。
This is a steel two-handed sword.  ,这是一把钢制双手剑。
This is a steel long sword.  ,这是一把钢制长剑。
This is a steel maul.  ,这是一把钢制大锤。
This is a steel great axe.  ,这是一把钢制巨斧。
This is a steel dagger.  ,这是一把钢制匕首。
This is a steel scourge.  ,这是一把钢制链鞭。
This is a steel flail.  ,这是一把钢制连枷。
This is a steel morningstar.  ,这是一把钢制流星锤。
This is a steel scimitar.  ,这是一把钢制弯刀。
This is a steel training axe.  ,这是一把钢制训练斧。
This is a steel training sword.  ,这是一把钢制训练剑。
This is a steel training spear.  ,这是一把钢制训练矛。
This is a steel great pick.  ,这是一把钢制巨镐。
This is a steel bolt.  ,这是一支钢制弩箭。
This is a steel arrow.  ,这是一支钢制箭矢。
This is a steel blowdart.  ,这是一把钢制吹镖。
This is a silver whip.  ,这是一条银制鞭子。
This is a silver battle axe.  ,这是一把银制战斧。
This is a silver war hammer.  ,这是一把银制战锤。
This is a silver short sword.  ,这是一把银制短剑。
This is a silver spear.  ,这是一把银制长矛。
This is a silver mace.  ,这是一根银制钉头锤。
This is a silver crossbow.  ,这是一把银制弩。
This is a silver pick.  ,这是一把银制镐。
This is a silver bow.  ,这是一把银制弓。
This is a silver blowgun.  ,这是一把银制吹箭筒。
This is a silver pike.  ,这是一把银制长柄矛。
This is a silver halberd.  ,这是一把银制戟。
This is a silver two-handed sword.  ,这是一把银制双手剑。
This is a silver long sword.  ,这是一把银制长剑。
This is a bismuth bronze spear.  ,这是一把铋青铜矛。
This is a bismuth bronze mace.  ,这是一把铋青铜锤。
This is a bismuth bronze crossbow.  ,这是一把铋青铜弩。
This is a bismuth bronze pick.  ,这是一把铋青铜镐。
This is a bismuth bronze bow.  ,这是一把铋青铜弓。
This is a bismuth bronze blowgun.  ,这是一把铋青铜吹箭筒。
This is a bismuth bronze pike.  ,这是一把铋青铜长枪。
This is a bismuth bronze halberd.  ,这是一把铋青铜戟。
This is a bismuth bronze two-handed sword.  ,这是一把铋青铜双手剑。
This is a bismuth bronze long sword.  ,这是一把铋青铜长剑。
This is a bismuth bronze maul.  ,这是一把铋青铜大锤。
This is a bismuth bronze great axe.  ,这是一把铋青铜巨斧。
This is a bismuth bronze dagger.  ,这是一把铋青铜匕首。
This is a bismuth bronze scourge.  ,这是一把铋青铜鞭。
This is a bismuth bronze flail.  ,这是一把铋青铜连枷。
This is a gold dagger.  ,这是一把黄金匕首。
This is a gold scourge.  ,这是一把黄金鞭笞。
This is a gold flail.  ,这是一把黄金连枷。
This is a gold morningstar.  ,这是一把黄金晨星锤。
This is a gold scimitar.  ,这是一把黄金弯刀。
This is a gold training axe.  ,这是一把黄金训练斧。
This is a gold training sword.  ,这是一把黄金训练剑。
This is a gold training spear.  ,这是一把黄金训练矛。
This is a gold great pick.  ,这是一把黄金巨镐。
This is a gold bolt.  ,这是一支黄金弩箭。
This is a gold arrow.  ,这是一支黄金箭。
This is a gold blowdart.  ,这是一支黄金吹箭。
This is a platinum whip.  ,这是一把白金鞭子。
This is a platinum battle axe.  ,这是一把白金战斧。
This is a platinum war hammer.  ,这是一把白金战锤。
This is a platinum short sword.  ,这是一把白金短剑。
This is a platinum spear.  ,这是一把白金长矛。
This is a platinum mace.  ,这是一把白金钉头锤。
This is a platinum crossbow.  ,这是一把白金弩。
This is a platinum pick.  ,这是一把白金镐。
This is a platinum bow.  ,这是一把白金弓。
This is a platinum blowgun.  ,这是一把白金吹箭筒。
This is a platinum pike.  ,这是一把白金长枪。
This is a platinum halberd.  ,这是一把白金戟。
This is a platinum two-handed sword.  ,这是一把白金双手剑。
This is a platinum long sword.  ,这是一把白金长剑。
This is a platinum maul.  ,这是一把白金巨锤。
This is a platinum great axe.  ,这是一把白金巨斧。
This is a platinum dagger.  ,这是一把白金匕首。
This is a platinum scourge.  ,这是一把白金链枷。
This is a aluminum mace.  ,这是一把铝制钉头锤。
This is a aluminum crossbow.  ,这是一把铝制弩。
This is a aluminum pick.  ,这是一把铝制镐。
This is a aluminum bow.  ,这是一把铝制弓。
This is a aluminum blowgun.  ,这是一把铝制吹箭筒。
This is a aluminum pike.  ,这是一把铝制长枪。
This is a aluminum halberd.  ,这是一把铝制戟。
This is a aluminum two-handed sword.  ,这是一把铝制双手剑。
This is a aluminum long sword.  ,这是一把铝制长剑。
This is a aluminum maul.  ,这是一把铝制巨锤。
This is a aluminum great axe.  ,这是一把铝制巨斧。
This is a aluminum dagger.  ,这是一把铝制匕首。
This is a aluminum scourge.  ,这是一把铝制链枷鞭。
This is a aluminum flail.  ,这是一把铝制连枷。
This is a aluminum morningstar.  ,这是一把铝制晨星锤。
This is a platinum flail.  ,这是一把白金链枷。
This is a platinum morningstar.  ,这是一把白金晨星锤。
This is a platinum scimitar.  ,这是一把白金弯刀。
This is a platinum training axe.  ,这是一把白金训练斧。
This is a platinum training sword.  ,这是一把白金训练剑。
This is a platinum training spear.  ,这是一把白金训练矛。
This is a platinum great pick.  ,这是一把白金巨镐。
This is a platinum bolt.  ,这是一支白金弩箭。
This is a platinum arrow.  ,这是一支白金箭。
This is a platinum blowdart.  ,这是一支白金吹箭。
This is a aluminum whip.  ,这是一把铝制鞭子。
This is a aluminum battle axe.  ,这是一把铝制战斧。
This is a aluminum war hammer.  ,这是一把铝制战锤。
This is a aluminum short sword.  ,这是一把铝制短剑。
This is a aluminum spear.  ,这是一把铝制长矛。
This is a aluminum scimitar.  ,这是一把铝制弯刀。
This is a aluminum training axe.  ,这是一把铝制训练斧。
This is a aluminum training sword.  ,这是一把铝制训练剑。
This is a aluminum training spear.  ,这是一把铝制训练矛。
This is a aluminum great pick.  ,这是一把铝制巨镐。
This is a aluminum bolt.  ,这是一支铝制弩箭。
This is a aluminum arrow.  ,这是一支铝制箭矢。
This is a aluminum blowdart.  ,这是一支铝制吹箭。
This is a electrum whip.  ,这是一把琥珀金鞭。
This is a electrum battle axe.  ,这是一把琥珀金战斧。
This is a electrum war hammer.  ,这是一把琥珀金战锤。
This is a electrum short sword.  ,这是一把琥珀金短剑。
This is a electrum spear.  ,这是一把琥珀金长矛。
This is a electrum mace.  ,这是一把琥珀金钉头锤。
This is a electrum crossbow.  ,这是一把琥珀金弩。
This is a electrum pick.  ,这是一把琥珀金镐。
This is a electrum bow.  ,这是一把琥珀金弓。
This is a electrum blowgun.  ,这是一把琥珀金吹管。
This is a electrum pike.  ,这是一把琥珀金长矛。
This is a electrum halberd.  ,这是一把琥珀金戟。
This is a electrum two-handed sword.  ,这是一把琥珀金双手剑。
This is a electrum long sword.  ,这是一把琥珀金长剑。
This is a electrum maul.  ,这是一把琥珀金战锤。
This is a electrum great axe.  ,这是一把琥珀金巨斧。
This is a electrum dagger.  ,这是一把琥珀金匕首。
This is a electrum scourge.  ,这是一条琥珀金鞭。
This is a electrum flail.  ,这是一把琥珀金连枷。
This is a electrum morningstar.  ,这是一把琥珀金晨星锤。
This is a electrum scimitar.  ,这是一把琥珀金弯刀。
This is a electrum training axe.  ,这是一把琥珀金训练斧。
This is a electrum training sword.  ,这是一把琥珀金训练剑。
This is a electrum training spear.  ,这是一把琥珀金训练矛。
This is a electrum great pick.  ,这是一把琥珀金巨镐。
This is a electrum bolt.  ,这是一支琥珀金弩箭。
This is a electrum arrow.  ,这是一支琥珀金箭。
This is a electrum blowdart.  ,这是一支琥珀金吹箭。
This is a adamantine whip.  ,这是一条精金鞭。
This is a adamantine battle axe.  ,这是一把精金战斧。
This is a adamantine war hammer.  ,这是一把精金战锤。
This is a adamantine short sword.  ,这是一把精金短剑。
This is a adamantine spear.  ,这是一把精金矛。
This is a adamantine mace.  ,这是一把精金锤杖。
This is a adamantine crossbow.  ,这是一把精金弩。
This is a adamantine pick.  ,这是一把精金镐。
This is a adamantine bow.  ,这是一把精金弓。
This is a adamantine blowgun.  ,这是一把精金吹箭。
This is a adamantine pike.  ,这是一把精金长柄矛。
This is a adamantine halberd.  ,这是一把精金戟。
This is a adamantine two-handed sword.  ,这是一把精金双手剑。
This is a adamantine long sword.  ,这是一把精金长剑。
This is a adamantine maul.  ,这是一把精金巨锤。
This is a adamantine great axe.  ,这是一把精金巨斧。
This is a adamantine dagger.  ,这是一把精金匕首。
This is a adamantine scourge.  ,这是一条精金链鞭。
This is a adamantine flail.  ,这是一把精金连枷。
This is a adamantine morningstar.  ,这是一把精金钉头锤。
This is a adamantine scimitar.  ,这是一把精金弯刀。
This is a adamantine training axe.  ,这是一把精金训练斧。
This is a adamantine training sword.  ,这是一把精金训练剑。
This is a adamantine training spear.  ,这是一把精金训练矛。
This is a adamantine great pick.  ,这是一支精金巨镐。
This is a adamantine bolt.  ,这是一支精金弩矢。
This is a adamantine arrow.  ,这是一支精金箭。
This is a adamantine blowdart.  ,这是一支精金吹箭。
